Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
386,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,193
388,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,194
390,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,195
392,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,196
394,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,197
396,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,198
398,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,199
400,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,200
402,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,201
404,0.5649,131,57,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,202
406,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,203
408,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,204
410,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,205
412,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,206
414,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,207
416,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,208
418,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,209
420,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,210
422,0.5802,131,55,0.5538,65,29,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,211
424,0.5802,131,55,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,212
426,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,213
428,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,214
430,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,215
432,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,216
434,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,217
436,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,218
438,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,219
440,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,220
442,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,221
444,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,222
446,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,223
448,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,224
450,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,225
452,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,226
454,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,227
456,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,228
458,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,229
460,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,230
462,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,231
464,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,232
466,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,233
468,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,234
470,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,235
472,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,236
474,0.5878,131,54,0.5692,65,28,0.7857,14,3,0.0,2,2,0.3333,6,4,0.9,20,2,237
