CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
173.0,final_sickled,443,452.0,110.75,113.0,2.25,completed,0.029709613522884735,0.058586131222546106,0.05897892053638186,0.014018994539843075,0.0041674961144703305,0.005523681640625,6,0.03,0,0.6110835671424866
175.0,final_sickled,153,154.0,38.25,38.5,0.25,completed,0.010233083329997802,0.01339530759723857,0.009751242895921072,0.014782384037971497,0.0048144476604647934,0.00445556640625,6,0.03,0,0.9124540090560913
176.0,semi_sickled,344,345.0,86.0,86.25,0.25,completed,0.012455579134984874,0.018421582877635956,0.02030413473645846,0.008464839736310145,0.005334271234460175,0.005635579427083333,6,0.03,0,0.6477018594741821
177.0,final_sickled,204,205.0,51.0,51.25,0.25,completed,0.011568271436650929,0.016569824528414757,0.013054076582193375,0.015843860999060173,0.003216142455736796,0.0031941731770833335,6,0.03,0,0.797502338886261
178.0,final_sickled,271,272.0,67.75,68.0,0.25,completed,0.013349952264494883,0.027426375180948526,0.022733440001805622,0.00897845629757891,0.004645557802480956,0.004267374674479167,6,0.03,0,0.7757881879806519
179.0,semi_sickled,211,217.0,52.75,54.25,1.5,completed,0.034939015792703934,0.14449792089872063,0.05755472454157742,0.03029552976262163,0.006547787967561321,0.003961736505681818,6,0.03,0,0.5734864473342896
183.0,final_sickled,378,381.0,94.5,95.25,0.75,completed,0.021692737277044218,0.041166168276686226,0.03464052081108093,0.018873390479711816,0.005372098385123536,0.004474639892578125,6,0.03,0,0.7147539258003235
185.0,semi_sickled,245,257.0,61.25,64.25,3.0,completed,0.022106361724539003,0.04926522967871279,0.04287935355130364,0.01087440031594323,0.0053218848838963925,0.003866756663602941,6,0.03,0,0.6926981806755066
188.0,final_sickled,155,165.0,38.75,41.25,2.5,completed,0.026462047842408843,0.06406324435956776,0.0462878555059433,0.01912696772875885,0.006007691208894054,0.004012044270833333,6,0.03,0,0.7351750135421753
189.0,semi_sickled,234,235.0,58.5,58.75,0.25,completed,0.006788697999824459,0.013019607809837908,0.009374871850013733,0.006266407057410106,0.0030612548386367657,0.0037027994791666665,6,0.03,0,0.6476149559020996
